"Местное время в Москве (центр, Балчуг)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"21.07.2021 09:00";"22.5";"745.8";"756.5";"";"45";"Ветер, дующий с северо-северо-запада";"1";"";"";"90  или более, но не 100%";" ";"";"";"18.7";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"10.0";"9.9";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"16.0";"";"";
"13.07.2021 15:00";"34.4";"752.2";"762.7";"";"24";"Ветер, дующий с запада";"1";"";"";"10%  или менее, но не 0";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"10%  или менее, но не 0";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"11.2";"";"";"";"";"";"";
"13.07.2021 12:00";"32.8";"752.9";"763.3";"";"24";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"9.8";"";"";"";"";"";"";
"13.07.2021 09:00";"29.9";"753.4";"764.0";"";"33";"Ветер, дующий с северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"23.4";"";"";"";"";"";"";"10.0";"11.8";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"19.0";"";"";
"13.07.2021 06:00";"27.0";"753.7";"764.3";"";"39";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"23.4";"";"";"";"";"";"";"10.0";"11.8";"Осадков нет";"12";"";"";"";"";
"13.07.2021 03:00";"24.8";"753.6";"764.4";"";"48";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"13.1";"";"";"";"";"";"";
"13.07.2021 00:00";"26.8";"753.4";"764.1";"";"40";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"12.2";"";"";"";"";"";"";
"12.07.2021 21:00";"28.9";"752.9";"763.5";"";"33";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"32.8";"";"";"";"";"";"10.0";"11.1";"Осадков нет";"12";"";"";"";"";
"12.07.2021 18:00";"31.4";"752.6";"763.1";"";"28";"Ветер, дующий с юго-юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"10.7";"Осадков нет";"12";"";"";"";"";
"12.07.2021 15:00";"31.9";"753.3";"763.8";"";"27";"Ветер, дующий с юго-востока";"1";"";"";"10%  или менее, но не 0";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"10%  или менее, но не 0";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"10.5";"";"";"";"";"";"";
"12.07.2021 12:00";"30.5";"753.9";"764.5";"";"29";"Ветер, дующий с северо-востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"10.5";"";"";"";"";"";"";
"12.07.2021 09:00";"28.1";"754.2";"764.8";"";"37";"Ветер, дующий с востока";"1";"";"";"Облаков нет.";" ";"";"";"22.1";"";"";"";"";"";"";"10.0";"12.1";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"19.0";"";"";
"12.07.2021 06:00";"23.9";"754.2";"765.0";"";"52";"Ветер, дующий с востоко-северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"22.1";"";"";"";"";"";"";"10.0";"13.3";"Осадков нет";"12";"";"";"";"";
"12.07.2021 03:00";"23.6";"753.7";"764.5";"";"52";"Ветер, дующий с востоко-северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"13.0";"";"";"";"";"";"";
"12.07.2021 00:00";"26.0";"753.2";"763.9";"";"43";"Ветер, дующий с востоко-северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"12.3";"";"";"";"";"";"";
"11.07.2021 21:00";"28.7";"752.5";"763.2";"";"31";"Ветер, дующий с северо-востока";"2";"";"";"Облаков нет.";" ";"";"";"";"32.7";"";"";"";"";"";"10.0";"9.8";"Осадков нет";"12";"";"";"";"";
"11.07.2021 18:00";"31.3";"751.9";"762.4";"";"30";"Ветер, дующий с востоко-северо-востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"11.8";"Осадков нет";"12";"";"";"";"";
"11.07.2021 15:00";"31.9";"752.2";"762.7";"";"31";"Ветер, дующий с северо-северо-востока";"1";"";"";"20–30%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"12.5";"";"";"";"";"";"";
"11.07.2021 12:00";"31.3";"752.7";"763.2";"";"32";"Ветер, дующий с севера";"1";"";"";"40%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"40%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"12.9";"";"";"";"";"";"";
"11.07.2021 09:00";"29.2";"752.9";"763.5";"";"37";"Ветер, дующий с востока";"1";"";"";"Облаков нет.";" ";"";"";"24.1";"";"";"";"";"";"";"10.0";"12.9";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"22.0";"";"";
"11.07.2021 06:00";"24.4";"752.8";"763.5";"";"63";"Ветер, дующий с востоко-северо-востока";"1";"";"";"60%.";" ";"";"";"24.1";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"2500 или более, или облаков нет.";"Высококучевые башенкообразные или хлопьевидные.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"17.0";"Осадков нет";"12";"";"";"";"";
"11.07.2021 03:00";"25.0";"752.5";"763.2";"";"69";"Ветер, дующий с востоко-северо-востока";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые башенкообразные или хлопьевидные.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"18.8";"";"";"";"";"";"";
"11.07.2021 00:00";"26.5";"752.3";"763.0";"";"59";"Ветер, дующий с востоко-северо-востока";"1";"";"";"50%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"50%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"17.7";"";"";"";"";"";"";
"10.07.2021 21:00";"28.9";"751.9";"762.5";"";"47";"Ветер, дующий с востоко-северо-востока";"1";"";"";"20–30%.";" ";"";"";"";"34.5";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"16.6";"Осадков нет";"12";"";"";"";"";
"10.07.2021 18:00";"31.3";"751.7";"762.1";"";"43";"Ветер, дующий с северо-востока";"3";"";"";"60%.";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"60%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"17.1";"Осадков нет";"12";"";"";"";"";
"10.07.2021 15:00";"34.4";"752.3";"762.7";"";"29";"Ветер, дующий с северо-северо-востока";"1";"";"";"40%.";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"40%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"13.8";"";"";"";"";"";"";
"10.07.2021 12:00";"32.9";"753.1";"763.6";"";"29";"Ветер, дующий с северо-северо-востока";"1";"";"";"40%.";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"40%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"12.7";"";"";"";"";"";"";
"10.07.2021 09:00";"28.4";"753.6";"764.2";"";"44";"Ветер, дующий с запада";"1";"";"";"40%.";" ";"";"";"24.3";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"14.9";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"20.0";"";"";
"10.07.2021 06:00";"25.2";"754.1";"764.8";"";"52";"Ветер, дующий с западо-северо-запада";"1";"";"";"70 – 80%.";" ";"";"";"24.3";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"14.6";"Осадков нет";"12";"";"";"";"";
"10.07.2021 03:00";"25.3";"754.2";"764.9";"";"50";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"14.0";"";"";"";"";"";"";
"10.07.2021 00:00";"27.5";"754.4";"765.1";"";"43";"Ветер, дующий с северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"13.8";"";"";"";"";"";"";
"09.07.2021 21:00";"29.6";"754.1";"764.7";"";"33";"Ветер, дующий с северо-северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"33.5";"";"";"";"";"";"10.0";"11.8";"Осадков нет";"12";"";"";"";"";
"09.07.2021 18:00";"31.8";"754.3";"764.8";"";"27";"Ветер, дующий с севера";"2";"";"";"20–30%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"10.8";"Осадков нет";"12";"";"";"";"";
"09.07.2021 15:00";"32.5";"755.3";"765.9";"";"27";"Ветер, дующий с западо-северо-запада";"1";"";"";"40%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"40%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"10.9";"";"";"";"";"";"";
"09.07.2021 12:00";"31.3";"756.6";"767.2";"";"31";"Штиль, безветрие";"0";"";"";"40%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"40%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"12.0";"";"";"";"";"";"";
"09.07.2021 09:00";"28.6";"757.2";"767.8";"";"39";"Ветер, дующий с западо-северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"22.5";"";"";"";"";"";"";"10.0";"13.3";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"18.0";"";"";
"09.07.2021 06:00";"24.8";"757.6";"768.4";"";"54";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"22.5";"";"";"";"";"";"";"10.0";"14.7";"Осадков нет";"12";"";"";"";"";
"09.07.2021 03:00";"23.2";"757.8";"768.7";"";"55";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"13.5";"";"";"";"";"";"";
"09.07.2021 00:00";"26.1";"757.3";"768.1";"";"41";"Ветер, дующий с западо-северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"11.8";"";"";"";"";"";"";
"08.07.2021 21:00";"28.8";"756.7";"767.5";"";"31";"Ветер, дующий с северо-запада";"1";"";"";"20–30%.";" ";"";"";"";"32.1";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"10.1";"Осадков нет";"12";"";"";"";"";
"08.07.2021 18:00";"31.0";"756.7";"767.3";"";"26";"Ветер, дующий с западо-северо-запада";"2";"";"";"40%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"40%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"9.5";"Осадков нет";"12";"";"";"";"";
"06.07.2021 03:00";"19.6";"752.2";"763.1";"";"56";"Ветер, дующий с востока";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"10.6";"";"";"";"";"";"";
"06.07.2021 00:00";"21.7";"751.3";"762.2";"";"46";"Ветер, дующий с востока";"1";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"9.4";"";"";"";"";"";"";
"05.07.2021 21:00";"23.8";"751.0";"761.8";"";"37";"Ветер, дующий с востоко-юго-востока";"1";"";"";"60%.";" ";"";"";"";"27.5";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"8.2";"Осадков нет";"12";"";"";"";"";
"05.07.2021 18:00";"26.4";"750.4";"761.1";"";"32";"Ветер, дующий с востока";"2";"";"";"60%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"60%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"8.4";"Осадков нет";"12";"";"";"";"";
"05.07.2021 15:00";"26.5";"750.7";"761.3";"";"31";"Ветер, дующий с востока";"2";"";"";"60%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"60%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"7.8";"";"";"";"";"";"";
"05.07.2021 12:00";"25.1";"751.0";"761.7";"";"35";"Ветер, дующий с востоко-северо-востока";"3";"";"";"60%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"60%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"8.7";"";"";"";"";"";"";
"05.07.2021 09:00";"23.3";"751.0";"761.8";"";"36";"Ветер, дующий с востоко-северо-востока";"2";"";"";"Облаков нет.";" ";"";"";"17.9";"";"";"";"";"";"";"10.0";"7.5";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"15.0";"";"";
"05.07.2021 06:00";"18.9";"750.9";"761.8";"";"53";"Ветер, дующий с востока";"1";"";"";"Облаков нет.";" ";"";"";"17.9";"";"";"";"";"";"";"10.0";"9.1";"Осадков нет";"12";"";"";"";"";
"05.07.2021 03:00";"19.5";"750.3";"761.2";"";"55";"Ветер, дующий с востока";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"10.3";"";"";"";"";"";"";
"04.07.2021 21:00";"22.4";"749.0";"759.8";"";"56";"Ветер, дующий с востоко-северо-востока";"1";"";"";"60%.";" ";"";"";"";"24.4";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"13.2";"Осадков нет";"12";"";"";"";"";
"04.07.2021 18:00";"23.2";"749.0";"759.7";"";"56";"Ветер, дующий с востока";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"13.8";"";"";"";"";"";"";
"04.07.2021 12:00";"20.0";"749.5";"760.3";"";"63";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"12.7";"";"";"";"";"";"";
"04.07.2021 09:00";"17.7";"749.5";"760.6";"";"76";"Ветер, дующий с востока";"2";"";"";"100%.";" ";"";"";"17.4";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"13.3";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"16.0";"";"";
"04.07.2021 06:00";"17.6";"748.8";"759.7";"";"72";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"17.6";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"12.4";"Осадков нет";"12";"";"";"";"";
"04.07.2021 03:00";"18.2";"748.3";"759.3";"";"67";"Ветер, дующий с северо-востока";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"11.9";"";"";"";"";"";"";
"03.07.2021 21:00";"20.2";"748.3";"759.2";"";"58";"Ветер, дующий с востоко-северо-востока";"1";"";"";"60%.";" ";"";"";"";"22.7";"Слоисто-кучевые, образовавшиеся из кучевых.";"40%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"11.5";"Осадков нет";"12";"";"";"";"";
"03.07.2021 18:00";"21.2";"748.1";"759.0";"";"57";"Ветер, дующий с востоко-северо-востока";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"12.4";"Осадков нет";"12";"";"";"";"";
"03.07.2021 15:00";"21.4";"748.1";"758.9";"";"59";"Ветер, дующий с востоко-северо-востока";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"100%.";"1000-1500";"";"";"10.0";"12.9";"";"";"";"";"";"";
